id,조합상세,사용된 아이템,사용된 챔프,분해된 아이템,조합이름
134,"4 선지자,2 흡수자,2 암살자,2 신성,2 신비술사,2 선봉대,1 우두머리","구원,태양불꽃 망토,모렐로노미콘,워모그의 갑옷,워모그의 갑옷,최후의 속삭임,거인 학살자,용의 발톱,덫 발톱","나서스,잔나,이렐리아,모르가나,세주아니,아트록스,탈론,질리언,세트","2연습용 장갑,1쓸데없이 큰 지팡이,2음전자 망토,1여신의 눈물,2곡궁,8거인의 허리띠,1B.F. 대검,1쇠사슬 조끼",처형자나무정령
135,"4 선지자,2 흡수자,2 암살자,2 신비술사,2 선봉대,1 추방자","라바돈의 죽음모자,쇼진의 창,모렐로노미콘,서풍,가고일 돌갑옷,수호 천사,정의의 손길,푸른 파수꾼,보석 건틀릿","파이크,잔나,유미,모르가나,세주아니,아트록스,탈론,스웨인,요네","2연습용 장갑,4쓸데없이 큰 지팡이,2음전자 망토,4여신의 눈물,2거인의 허리띠,2B.F. 대검,2쇠사슬 조끼",귀감
136,"3 선지자,3 선봉대,2 흡수자,2 암살자,2 신비술사","모렐로노미콘,덤불 조끼,서풍,태양불꽃 망토,무한의 대검,수호 천사,최후의 속삭임,수호자의 흉갑,수은","잔나,모르가나,세주아니,아트록스,탈론,리 신,스웨인,질리언","3연습용 장갑,1쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,1곡궁,3거인의 허리띠,2B.F. 대검,5쇠사슬 조끼",선봉신비우화
137,"8 선봉대,3 우화,1 대장장이","푸른 파수꾼,마법공학 총검,도적의 장갑,수은,라바돈의 죽음모자,모렐로노미콘,수호자의 흉갑,마법공학 총검,구원,푸른 파수꾼,덫 발톱,수호자의 흉갑,강철의 솔라리 펜던트","노틸러스,브라움,니코,세주아니,아트록스,초가스,오른","4연습용 장갑,6쓸데없이 큰 지팡이,1음전자 망토,2뒤집개,5여신의 눈물,3거인의 허리띠,2B.F. 대검,3쇠사슬 조끼",선봉신비우화
138,"4 용의 영혼,4 선봉대,3 학살자,3 요술사,2 명사수,1 무모한 자","가고일 돌갑옷,모렐로노미콘,요술사의 모자,거인의 결의,수호자의 흉갑,수은,루덴의 메아리,정의의 손길,죽음의 검,고속 연사포","트리스타나,브라움,세주아니,아트록스,올라프,아우렐리온 솔,트린다미어,사미라","2연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,2뒤집개,3여신의 눈물,3곡궁,1거인의 허리띠,2B.F. 대검,3쇠사슬 조끼",귀감
139,"8 싸움꾼,4 나무정령,1 우두머리,1 대장장이","구원,태양불꽃 망토,정의의 손길,용의 발톱,죽음의 검,마법공학 총검,나무정령 새싹,거인의 결의","마오카이,탐 켄치,바이,누누와 윌럼프,쉬바나,초가스,세트,오른","1연습용 장갑,1쓸데없이 큰 지팡이,3음전자 망토,1뒤집개,2여신의 눈물,1곡궁,2거인의 허리띠,3B.F. 대검,2쇠사슬 조끼",귀감
140,"7 요술사,3 용의 영혼,3 나무정령,1 추방자,1 우두머리","용의 정령,수은,거인의 결의,나무정령 새싹,정의의 손길,수호 천사,모렐로노미콘,얼어붙은 심장","브랜드,트위스티드 페이트,룰루,애니,베이가,아우렐리온 솔,세트,요네","2연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,2뒤집개,2여신의 눈물,1곡궁,1거인의 허리띠,1B.F. 대검,3쇠사슬 조끼",요술사
141,"6 학살자,3 용의 영혼,2 선봉대,2 명사수,1 무모한 자","푸른 파수꾼,모렐로노미콘,강철의 솔라리 펜던트,모렐로노미콘,얼어붙은 심장,죽음의 검,정의의 손길,루난의 허리케인,지크의 전령,보석 건틀릿,정의의 손길","트리스타나,브라움,파이크,다리우스,아트록스,올라프,트린다미어,사미라","3연습용 장갑,4쓸데없이 큰 지팡이,1음전자 망토,5여신의 눈물,1곡궁,3거인의 허리띠,3B.F. 대검,2쇠사슬 조끼",처형자나무정령
142,"4 영혼,4 명사수,2 신비술사,1 무모한 자,1 닌자","지크의 전령,지크의 전령,힘의 성배,최후의 속삭임,거인의 결의,거인 학살자,태양불꽃 망토","다이애나,티모,시비르,유미,킨드레드,쉔,아트록스,사미라","1연습용 장갑,1음전자 망토,1여신의 눈물,3곡궁,3거인의 허리띠,3B.F. 대검,2쇠사슬 조끼",영혼시비르
143,"4 영혼,2 명사수,2 귀감","정의의 손길,지크의 전령,최후의 속삭임,수은,고속 연사포,강철의 솔라리 펜던트","다이애나,엘리스,라칸,티모,시비르,유미,킨드레드","3연습용 장갑,1쓸데없이 큰 지팡이,1음전자 망토,1여신의 눈물,3곡궁,1거인의 허리띠,1B.F. 대검,1쇠사슬 조끼",처형자나무정령
144,"6 암살자,4 닌자,2 신비술사,2 귀감,1 황제","얼어붙은 심장,고속 연사포,강철의 솔라리 펜던트,강철의 솔라리 펜던트,지크의 전령,요우무의 유령검,힘의 성배,태양불꽃 망토,고속 연사포,무한의 대검,푸른 파수꾼,덤불 조끼,서풍,도적의 장갑,쇼진의 창,수호 천사","제드,파이크,카타리나,케넨,아칼리,탈론,쉔,질리언,아지르","4연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,5여신의 눈물,4곡궁,3거인의 허리띠,4B.F. 대검,7쇠사슬 조끼",영혼시비르
145,"6 선봉대,3 학살자,3 용의 영혼,2 결투가","모렐로노미콘,구원,마법공학 총검,정의의 손길,모렐로노미콘,최후의 속삭임,루난의 허리케인,수호 천사,지크의 전령,최후의 속삭임,푸른 파수꾼,수호자의 흉갑","가렌,트리스타나,브라움,파이크,세주아니,아트록스,올라프,트린다미어,리 신","3연습용 장갑,3쓸데없이 큰 지팡이,1음전자 망토,1뒤집개,4여신의 눈물,3곡궁,4거인의 허리띠,3B.F. 대검,2쇠사슬 조끼",영혼시비르
146,"6 학살자,3 용의 영혼,2 선봉대,2 명사수,1 무모한 자","강철의 솔라리 펜던트,모렐로노미콘,구원,마법공학 총검,피바라기,스태틱의 단검,서풍,용의 정령,고속 연사포,죽음의 검","트리스타나,파이크,다리우스,세주아니,아트록스,올라프,트린다미어,사미라","4쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,2여신의 눈물,3곡궁,3거인의 허리띠,4B.F. 대검,1쇠사슬 조끼",처형자조율자신성
147,"4 암살자,4 닌자,2 조율자,2 신비술사,2 귀감,1 황제,1 추방자","강철의 솔라리 펜던트,강철의 솔라리 펜던트,고속 연사포,푸른 파수꾼,무한의 대검,서풍,무한의 대검,구인수의 격노검,지크의 전령","제드,파이크,케넨,아칼리,쉔,탈론,아지르,요네,질리언","2연습용 장갑,3쓸데없이 큰 지팡이,1음전자 망토,2여신의 눈물,3곡궁,2거인의 허리띠,3B.F. 대검,2쇠사슬 조끼",영혼시비르
148,"4 암살자,4 닌자,3 조율자,1 추방자","지크의 전령,태양불꽃 망토,무한의 대검,무한의 대검,고속 연사포,푸른 파수꾼,가고일 돌갑옷,침묵의 장막,이온 충격기","제드,파이크,이렐리아,카타리나,케넨,아칼리,쉔,요네","3연습용 장갑,1쓸데없이 큰 지팡이,2음전자 망토,2여신의 눈물,2곡궁,2거인의 허리띠,3B.F. 대검,3쇠사슬 조끼",선봉학살올라프
149,"6 용의 영혼,4 선봉대,2 결투가,1 대장장이","모렐로노미콘,강철의 솔라리 펜던트,서풍,덤불 조끼,루난의 허리케인,거인 학살자,죽음의 검,용의 정령,모렐로노미콘","트리스타나,브라움,쉬바나,세주아니,아트록스,올라프,트린다미어,오른,리 신","4쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,2곡궁,3거인의 허리띠,3B.F. 대검,3쇠사슬 조끼",영혼시비르
150,"4 영혼,2 신비술사,2 선봉대,2 명사수","최후의 속삭임,피바라기,고속 연사포,지크의 전령,즈롯 차원문,즈롯 차원문,가고일 돌갑옷","잔나,티모,시비르,유미,킨드레드,아트록스,세주아니","1연습용 장갑,2음전자 망토,5곡궁,3거인의 허리띠,2B.F. 대검,1쇠사슬 조끼",처형자신성
151,7 요술사,"루덴의 메아리,루덴의 메아리,수호 천사,거인 학살자,용의 발톱,거인의 결의,얼어붙은 심장","브랜드,트위스티드 페이트,애니,룰루,베이가,아우렐리온 솔","2쓸데없이 큰 지팡이,2음전자 망토,3여신의 눈물,2곡궁,2B.F. 대검,3쇠사슬 조끼",요술사
152,"4 조율자,4 신성,2 처형자,2 영혼,2 신비술사,2 결투가,1 황제,1 추방자,1 닌자","지크의 전령,강철의 솔라리 펜던트,스태틱의 단검,보석 건틀릿,수은,구인수의 격노검,덤불 조끼,라바돈의 죽음모자,서풍","잭스,이렐리아,유미,킨드레드,쉔,케일,리 신,아지르,요네","2연습용 장갑,5쓸데없이 큰 지팡이,2음전자 망토,1여신의 눈물,2곡궁,2거인의 허리띠,1B.F. 대검,3쇠사슬 조끼",선봉학살올라프
153,"4 처형자,2 조율자,2 신성,2 선봉대,2 귀감,1 황제,1 닌자","지크의 전령,수은,고속 연사포,구인수의 격노검,모렐로노미콘,정의의 손길,수호자의 흉갑","이렐리아,킨드레드,쉔,아트록스,자야,케일,아지르,스웨인","2연습용 장갑,2쓸데없이 큰 지팡이,1음전자 망토,1뒤집개,1여신의 눈물,3곡궁,2거인의 허리띠,1B.F. 대검,1쇠사슬 조끼",영혼시비르
154,"3 학살자,3 용의 영혼,3 선봉대,2 명사수,1 황제,1 추방자,1 무모한 자","태양불꽃 망토,정의의 손길,루난의 허리케인,수호 천사,고속 연사포,정의의 손길,서풍,덫 발톱,모렐로노미콘","트리스타나,브라움,다리우스,아트록스,올라프,사미라,아지르,요네","3연습용 장갑,1쓸데없이 큰 지팡이,2음전자 망토,2여신의 눈물,3곡궁,4거인의 허리띠,1B.F. 대검,2쇠사슬 조끼",처형자나무정령
155,"3 암살자,2 조율자,2 신비술사,1 추방자,1 닌자","얼어붙은 심장,무한의 대검,수호 천사,최후의 속삭임,루난의 허리케인,덤불 조끼,용의 발톱,수호 천사","파이크,유미,쉔,탈론,리 신,스웨인,요네,요네","2연습용 장갑,3음전자 망토,1여신의 눈물,2곡궁,3B.F. 대검,5쇠사슬 조끼",선봉학살올라프
156,"4 귀감,3 광신도,2 흡수자,2 처형자,1 황제,1 추방자,1 닌자","서풍,덤불 조끼,용의 발톱,정의의 손길,모렐로노미콘,구인수의 격노검,모렐로노미콘,거인의 결의","엘리스,블라디미르,케넨,모르가나,아트록스,자야,아지르,요네","1연습용 장갑,3쓸데없이 큰 지팡이,3음전자 망토,2곡궁,3거인의 허리띠,1여신의 눈물,3쇠사슬 조끼",흡수자신성
157,"6 대장군,2 흡수자,2 신성,2 명사수,2 귀감,2 결투가,1 황제,1 무모한 자","서풍,신성의 검,푸른 파수꾼,마법공학 총검,거인의 결의,용의 발톱,지크의 전령,지크의 전령,푸른 파수꾼,침묵의 장막,도적의 장갑,마법공학 총검,정의의 손길,고속 연사포,대장군의 깃발,죽음의 검,워모그의 갑옷,덤불 조끼,라바돈의 죽음모자","자르반 4세,시비르,카타리나,모르가나,트린다미어,리 신,아지르,사미라,스웨인","4연습용 장갑,4쓸데없이 큰 지팡이,3음전자 망토,2뒤집개,5여신의 눈물,3곡궁,6거인의 허리띠,7B.F. 대검,4쇠사슬 조끼",싸움꾼
158,"4 암살자,4 닌자,3 조율자,2 신성,2 선지자,1 추방자","강철의 솔라리 펜던트,서풍,푸른 파수꾼,고속 연사포,수호 천사,지크의 전령,힘의 성배,거인의 결의,신성의 검","제드,파이크,케넨,이렐리아,아칼리,쉔,탈론,요네","1쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,3여신의 눈물,3곡궁,2거인의 허리띠,3B.F. 대검,3쇠사슬 조끼",처형자신성
159,"4 흡수자,4 선지자,3 조율자,3 신성,2 신비술사,1 추방자,1 닌자","모렐로노미콘,용의 발톱,보석 건틀릿,무한의 대검,최후의 속삭임,거인 학살자,푸른 파수꾼,워모그의 갑옷,수호 천사,얼어붙은 심장,거인의 결의,거인의 결의","나서스,잔나,이렐리아,모르가나,쉔,탈론,리 신,스웨인,요네","3연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,3여신의 눈물,4곡궁,3거인의 허리띠,3B.F. 대검,4쇠사슬 조끼",영혼시비르
160,"7 요술사,3 용의 영혼","즈롯 차원문,용의 발톱,거인의 결의,구원,마법공학 총검,수호 천사","트위스티드 페이트,브랜드,룰루,애니,베이가,올라프,아우렐리온 솔","1쓸데없이 큰 지팡이,2음전자 망토,1여신의 눈물,2곡궁,2거인의 허리띠,2B.F. 대검,2쇠사슬 조끼",광신도
161,"8 결투가,4 신성,1 추방자","강철의 솔라리 펜던트,강철의 솔라리 펜던트,거인의 결의,루덴의 메아리,정의의 손길,정의의 손길,수은,결투가의 열정,마법공학 총검,푸른 파수꾼","나서스,야스오,피오라,잭스,칼리스타,트린다미어,케일,리 신","3연습용 장갑,4쓸데없이 큰 지팡이,1음전자 망토,1뒤집개,5여신의 눈물,2곡궁,1B.F. 대검,3쇠사슬 조끼",싸움꾼
162,"4 조율자,4 신성,2 처형자,2 영혼,2 신비술사,2 결투가,1 추방자,1 닌자","지크의 전령,라바돈의 죽음모자,거인 학살자,덤불 조끼,고속 연사포,구인수의 격노검,수은,워모그의 갑옷,수호 천사","잭스,유미,이렐리아,킨드레드,쉔,케일,요네,리 신","1연습용 장갑,3쓸데없이 큰 지팡이,1음전자 망토,4곡궁,3거인의 허리띠,3B.F. 대검,3쇠사슬 조끼",영혼시비르
163,"4 선봉대,3 처형자,2 신성,2 신비술사","용의 발톱,지크의 전령,죽음의 검,마법공학 총검,거인 학살자,도적의 장갑,루덴의 메아리,모렐로노미콘,루난의 허리케인,정의의 손길,고속 연사포","오공,노틸러스,유미,자야,세주아니,아트록스,케일,질리언","3연습용 장갑,3쓸데없이 큰 지팡이,3음전자 망토,2여신의 눈물,4곡궁,2거인의 허리띠,5B.F. 대검",싸움꾼
164,"4 선봉대,3 학살자,3 용의 영혼,2 조율자,2 명사수,1 무모한 자,1 닌자","힘의 성배,강철의 솔라리 펜던트,용의 발톱,수호 천사,스태틱의 단검,최후의 속삭임,수호자의 흉갑,무한의 대검,지크의 전령","트리스타나,파이크,브라움,세주아니,쉔,아트록스,올라프,사미라","2연습용 장갑,1쓸데없이 큰 지팡이,3음전자 망토,1뒤집개,2여신의 눈물,2곡궁,1거인의 허리띠,3B.F. 대검,3쇠사슬 조끼",귀감
165,"6 용의 영혼,3 학살자,2 흡수자,2 신비술사,2 명사수,1 무모한 자,1 닌자","강철의 솔라리 펜던트,힘의 성배,지크의 전령,고속 연사포,피바라기,스태틱의 단검,이온 충격기,푸른 파수꾼,태양불꽃 망토","트리스타나,브라움,파이크,모르가나,쉔,아우렐리온 솔,올라프,사미라,스웨인,질리언","2쓸데없이 큰 지팡이,3음전자 망토,4여신의 눈물,3곡궁,2거인의 허리띠,2B.F. 대검,2쇠사슬 조끼",처형자신성
166,"4 결투가,3 학살자,3 대장군,2 신성,2 명사수,2 귀감,1 황제,1 무모한 자","무한의 대검,고속 연사포,구인수의 격노검,최후의 속삭임,모렐로노미콘,모렐로노미콘,덫 발톱,루덴의 메아리,최후의 속삭임,수호 천사,고속 연사포","잭스,자르반 4세,티모,올라프,트린다미어,아지르,아지르,리 신,사미라","4연습용 장갑,4쓸데없이 큰 지팡이,1여신의 눈물,7곡궁,3거인의 허리띠,2B.F. 대검,1쇠사슬 조끼",처형자신성
167,"6 대장군,4 귀감,2 암살자,1 황제,1 닌자","서풍,수은,거인의 결의,마법공학 총검,구원,수호 천사,정의의 손길,이온 충격기","가렌,니달리,자르반 4세,파이크,카타리나,케넨,트린다미어,아지르","2연습용 장갑,2쓸데없이 큰 지팡이,3음전자 망토,2여신의 눈물,1곡궁,2거인의 허리띠,2B.F. 대검,2쇠사슬 조끼",귀감
168,"4 귀감,3 대장군,3 광신도,2 암살자,2 선봉대,1 닌자","태양불꽃 망토,힘의 성배,거인의 결의,마법공학 총검,수은,정의의 손길,정의의 손길,용의 발톱,고속 연사포","엘리스,가렌,자르반 4세,파이크,카타리나,케넨,아트록스,리 신","3연습용 장갑,1쓸데없이 큰 지팡이,4음전자 망토,3여신의 눈물,3곡궁,1거인의 허리띠,1B.F. 대검,2쇠사슬 조끼",귀감
169,"6 대장군,3 학살자,2 암살자,2 선봉대,2 명사수,1 황제,1 무모한 자","도적의 장갑,가고일 돌갑옷,태양불꽃 망토,루난의 허리케인,마법공학 총검,수은,워모그의 갑옷,모렐로노미콘,무한의 대검,고속 연사포,거인 학살자,침묵의 장막,지크의 전령","가렌,니달리,파이크,카타리나,트린다미어,세주아니,사미라,아지르","5연습용 장갑,2쓸데없이 큰 지팡이,3음전자 망토,4곡궁,5거인의 허리띠,4B.F. 대검,3쇠사슬 조끼",영혼시비르
170,"4 선봉대,3 학살자,3 용의 영혼,2 명사수,1 황제,1 무모한 자","서풍,태양불꽃 망토,용의 발톱,스태틱의 단검,최후의 속삭임,수호 천사,푸른 파수꾼,루덴의 메아리,정의의 손길,피바라기","트리스타나,브라움,파이크,세주아니,아트록스,올라프,리 신,사미라,아지르","2연습용 장갑,1쓸데없이 큰 지팡이,4음전자 망토,5여신의 눈물,2곡궁,2거인의 허리띠,2B.F. 대검,2쇠사슬 조끼",귀감
171,"6 대장군,3 학살자,2 암살자,2 명사수,2 귀감,1 황제,1 무모한 자","수은,지크의 전령,도적의 장갑,죽음의 검,마법공학 총검,거인 학살자,수은,도적의 장갑,루난의 허리케인,루덴의 메아리,도적의 장갑,수호 천사,덤불 조끼,이온 충격기,수호 천사,거인의 결의,거인 학살자","니달리,파이크,자르반 4세,카타리나,아트록스,트린다미어,아지르,사미라","8연습용 장갑,3쓸데없이 큰 지팡이,4음전자 망토,1여신의 눈물,4곡궁,1거인의 허리띠,8B.F. 대검,5쇠사슬 조끼",대장군학살자
172,"4 명사수,3 선봉대,3 광신도,2 영혼,2 신비술사,1 황제,1 무모한 자,1 대장장이","모렐로노미콘,침묵의 장막,최후의 속삭임,죽음의 검,수은,모렐로노미콘,보석 건틀릿,거인의 결의,수호 천사,라바돈의 죽음모자","티모,유미,시비르,세주아니,아트록스,아지르,질리언,사미라,오른","4연습용 장갑,5쓸데없이 큰 지팡이,1음전자 망토,2곡궁,2거인의 허리띠,3B.F. 대검,3쇠사슬 조끼",영혼시비르
173,"7 요술사,3 나무정령","용의 발톱,가고일 돌갑옷,마법공학 총검,힘의 성배,구인수의 격노검,마법공학 총검,푸른 파수꾼,루난의 허리케인","브랜드,트위스티드 페이트,애니,라칸,룰루,베이가,아우렐리온 솔","3쓸데없이 큰 지팡이,5음전자 망토,3여신의 눈물,2곡궁,2B.F. 대검,1쇠사슬 조끼",싸움꾼
174,"4 선봉대,3 학살자,3 광신도,2 명사수,1 추방자,1 무모한 자,1 대장장이","덤불 조끼,모렐로노미콘,마법공학 총검,마법공학 총검,수호 천사,최후의 속삭임,스태틱의 단검,마법공학 총검","파이크,시비르,세주아니,아트록스,트린다미어,오른,사미라,요네","1연습용 장갑,4쓸데없이 큰 지팡이,1여신의 눈물,2곡궁,1거인의 허리띠,4B.F. 대검,3쇠사슬 조끼",선봉학살올라프
175,"4 선지자,3 조율자,3 암살자,3 광신도,2 흡수자,2 신비술사,1 추방자,1 닌자","요우무의 유령검,모렐로노미콘,가고일 돌갑옷,라바돈의 죽음모자,고속 연사포,정의의 손길,이온 충격기,강철의 솔라리 펜던트","블라디미르,파이크,이렐리아,모르가나,쉔,탈론,질리언,요네","2연습용 장갑,5쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,2곡궁,1거인의 허리띠,1여신의 눈물,2쇠사슬 조끼",흡수자신성
176,"4 선봉대,3 학살자,3 광신도,2 명사수,1 황제,1 무모한 자","이온 충격기,모렐로노미콘,모렐로노미콘,워모그의 갑옷,수호 천사,보석 건틀릿,고속 연사포,정의의 손길,거인의 결의,지크의 전령","브라움,파이크,시비르,세주아니,아트록스,트린다미어,사미라,아지르","2연습용 장갑,4쓸데없이 큰 지팡이,1음전자 망토,1여신의 눈물,3곡궁,5거인의 허리띠,2B.F. 대검,2쇠사슬 조끼",영혼시비르
177,"9 광신도,2 신비술사,1 닌자","보석 건틀릿,무한의 대검,정의의 손길,서풍,태양불꽃 망토,강철의 솔라리 펜던트,정의의 손길,모렐로노미콘,스태틱의 단검,구인수의 격노검","엘리스,트위스티드 페이트,파이크,블라디미르,칼리스타,시비르,쉔,아트록스,질리언","4연습용 장갑,4쓸데없이 큰 지팡이,1음전자 망토,3여신의 눈물,2곡궁,3거인의 허리띠,1B.F. 대검,2쇠사슬 조끼",처형자나무정령
178,"6 나무정령,5 요술사,2 싸움꾼","강철의 솔라리 펜던트,푸른 파수꾼,죽음의 검,즈롯 차원문,덤불 조끼,용의 발톱,수호 천사,보석 건틀릿,정의의 손길","마오카이,브랜드,라칸,룰루,애니,누누와 윌럼프,베이가,아우렐리온 솔","2연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,3여신의 눈물,1곡궁,1거인의 허리띠,3B.F. 대검,4쇠사슬 조끼",귀감
179,"4 선지자,3 광신도,2 흡수자,2 조율자,2 암살자,1 추방자","침묵의 장막,구원,모렐로노미콘,정의의 손길,최후의 속삭임,수호 천사,루난의 허리케인,푸른 파수꾼,푸른 파수꾼","파이크,블라디미르,이렐리아,모르가나,탈론,탈론,요네,질리언","3연습용 장갑,1쓸데없이 큰 지팡이,1음전자 망토,6여신의 눈물,2곡궁,2거인의 허리띠,1B.F. 대검,2쇠사슬 조끼",처형자나무정령
180,"4 처형자,3 나무정령,3 귀감,2 신성,1 황제,1 추방자","태양불꽃 망토,힘의 성배,정의의 손길,강철의 솔라리 펜던트,정의의 손길,수은,고속 연사포,라바돈의 죽음모자,덫 발톱","라칸,누누와 윌럼프,킨드레드,자야,케일,리 신,아지르,요네","4연습용 장갑,3쓸데없이 큰 지팡이,2음전자 망토,2곡궁,2거인의 허리띠,3여신의 눈물,2쇠사슬 조끼",처형자조율자신성
181,"4 처형자,4 신성,4 결투가,2 영혼,2 신비술사,2 귀감,1 황제,1 닌자","지크의 전령,거인 학살자,결투가의 열정,고속 연사포,수호 천사,강철의 솔라리 펜던트,용의 발톱,지크의 전령,신성의 검,힘의 성배","잭스,유미,킨드레드,쉔,자야,케일,트린다미어,리 신,아지르","1쓸데없이 큰 지팡이,3음전자 망토,2뒤집개,1여신의 눈물,4곡궁,2거인의 허리띠,5B.F. 대검,2쇠사슬 조끼",광신도
182,"6 나무정령,5 요술사,1 대장장이","마법공학 총검,즈롯 차원문,가고일 돌갑옷,나무정령 새싹,마법공학 총검,고속 연사포,모렐로노미콘,마법공학 총검,수호 천사","브랜드,라칸,룰루,애니,베이가,아우렐리온 솔,오른","4쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,3곡궁,2거인의 허리띠,4B.F. 대검,2쇠사슬 조끼",영혼시비르
183,"6 용의 영혼,4 선봉대,3 학살자,2 명사수,1 무모한 자,1 대장장이","지크의 전령,침묵의 장막,워모그의 갑옷,얼어붙은 심장,고속 연사포,죽음의 검,루난의 허리케인,수호 천사,용의 정령,최후의 속삭임","트리스타나,브라움,아우렐리온 솔,세주아니,아트록스,올라프,스웨인,오른,사미라","2연습용 장갑,1쓸데없이 큰 지팡이,1음전자 망토,1뒤집개,1여신의 눈물,4곡궁,3거인의 허리띠,4B.F. 대검,3쇠사슬 조끼",선봉학살올라프
184,"3 학살자,3 광신도,2 선봉대,2 명사수,2 결투가,1 황제,1 추방자,1 무모한 자","덫 발톱,푸른 파수꾼,덤불 조끼,가고일 돌갑옷,즈롯 차원문,무한의 대검,수호 천사,최후의 속삭임","파이크,시비르,세주아니,아트록스,올라프,아지르,요네,리 신,사미라","3연습용 장갑,1음전자 망토,2여신의 눈물,2곡궁,2거인의 허리띠,2B.F. 대검,4쇠사슬 조끼",처형자나무정령
185,"3 학살자,3 용의 영혼,3 선봉대,2 명사수,1 황제,1 우두머리,1 무모한 자","모렐로노미콘,워모그의 갑옷,거인 학살자,최후의 속삭임,고속 연사포,요우무의 유령검,루난의 허리케인,라바돈의 죽음모자,거인 학살자,보석 건틀릿","트리스타나,아트록스,트린다미어,세주아니,올라프,스웨인,아지르,사미라,세트","3연습용 장갑,4쓸데없이 큰 지팡이,1음전자 망토,1뒤집개,6곡궁,3거인의 허리띠,2B.F. 대검",처형자신성
186,"6 용의 영혼,4 학살자","서풍,라바돈의 죽음모자,워모그의 갑옷,쇼진의 창,죽음의 검,정의의 손길,수호 천사,용의 발톱,덤불 조끼,마법공학 총검","브랜드,브라움,파이크,쉬바나,아우렐리온 솔,올라프,트린다미어,스웨인","1연습용 장갑,3쓸데없이 큰 지팡이,3음전자 망토,2여신의 눈물,3거인의 허리띠,5B.F. 대검,3쇠사슬 조끼",귀감
187,"4 처형자,3 조율자,3 신성,2 영혼,2 신비술사,1 추방자,1 닌자","강철의 솔라리 펜던트,정의의 손길,정의의 손길,힘의 성배,수은,고속 연사포,지크의 전령,워모그의 갑옷,마법공학 총검","유미,이렐리아,킨드레드,쉔,자야,케일,리 신,요네","3연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,3여신의 눈물,2곡궁,3거인의 허리띠,2B.F. 대검,1쇠사슬 조끼",처형자나무정령
188,"4 선봉대,3 학살자,3 용의 영혼,2 결투가","이온 충격기,워모그의 갑옷,용의 발톱,루덴의 메아리,수호 천사,루난의 허리케인,정의의 손길","트리스타나,브라움,노틸러스,아트록스,세주아니,올라프,트린다미어,리 신","1연습용 장갑,2쓸데없이 큰 지팡이,4음전자 망토,2여신의 눈물,1곡궁,2거인의 허리띠,1B.F. 대검,1쇠사슬 조끼",요술사
189,"8 싸움꾼,3 나무정령,1 우두머리","태양불꽃 망토,즈롯 차원문,라바돈의 죽음모자,정의의 손길,루난의 허리케인,수호 천사,라바돈의 죽음모자,태양불꽃 망토","마오카이,탐 켄치,라칸,바이,누누와 윌럼프,쉬바나,초가스,세트","1연습용 장갑,4쓸데없이 큰 지팡이,1음전자 망토,1여신의 눈물,2곡궁,3거인의 허리띠,1B.F. 대검,3쇠사슬 조끼",선봉신비우화
190,"4 선지자,3 조율자,3 신비술사,2 흡수자,2 암살자,1 추방자,1 닌자","모렐로노미콘,용의 발톱,덤불 조끼,수호 천사,스태틱의 단검,마법공학 총검,루덴의 메아리,덫 발톱","잔나,이렐리아,모르가나,쉔,탈론,스웨인,요네,질리언","1연습용 장갑,3쓸데없이 큰 지팡이,2음전자 망토,2여신의 눈물,1곡궁,2거인의 허리띠,2B.F. 대검,3쇠사슬 조끼",요술사
191,"4 선지자,3 조율자,2 흡수자,2 암살자,2 신비술사,1 추방자,1 닌자","무한의 대검,모렐로노미콘,용의 발톱,마법공학 총검,거인 학살자,수호 천사,최후의 속삭임,마법공학 총검,서풍","파이크,이렐리아,모르가나,쉔,탈론,스웨인,요네,질리언","2연습용 장갑,3쓸데없이 큰 지팡이,3음전자 망토,2곡궁,2거인의 허리띠,5B.F. 대검,1쇠사슬 조끼",영혼시비르
192,"6 대장군,3 학살자,2 암살자,2 선봉대,2 명사수,2 귀감,1 황제,1 무모한 자","덫 발톱,마법공학 총검,수은,정의의 손길,수호 천사,덤불 조끼,워모그의 갑옷,수호 천사,피바라기,무한의 대검,최후의 속삭임,지크의 전령","가렌,니달리,자르반 4세,파이크,카타리나,아트록스,트린다미어,사미라,아지르","5연습용 장갑,1쓸데없이 큰 지팡이,2음전자 망토,1여신의 눈물,1곡궁,4거인의 허리띠,6B.F. 대검,4쇠사슬 조끼",선봉학살올라프
