rank,B.F. 대검,거인의 허리띠,곡궁,뒤집개,쇠사슬 조끼,쓸데없이 큰 지팡이,여신의 눈물,연습용 장갑,음전자 망토,조합
6,1,3,0,0,2,3,5,3,2,결투가조율자
7,2,1,1,0,2,1,3,1,1,흡수자선지자
2,3,1,2,0,4,2,2,2,5,요술사
3,4,2,2,0,3,4,1,3,3,싸움꾼
7,4,1,1,0,1,2,2,2,1,나무정령
5,2,3,1,3,0,2,4,0,1,처형자조율자신성
3,4,1,1,0,5,3,1,1,3,요술사
5,4,2,1,0,2,2,2,0,3,흡수자선지자
2,4,3,4,0,1,4,0,3,2,싸움꾼
2,3,3,5,0,4,2,0,4,1,대장군학살자
2,4,2,3,0,2,4,3,2,0,싸움꾼
3,4,0,4,0,2,2,1,2,1,대장군학살자
1,3,2,4,2,4,2,1,2,1,대장군사미라
4,0,1,2,1,3,4,3,1,3,흡수자신성
1,4,2,2,1,2,3,3,2,2,대장군사미라
3,2,3,4,0,3,2,1,1,1,광신도
8,1,1,3,0,1,0,2,2,2,결투가조율자
3,4,1,0,3,3,2,4,2,1,나무정령
3,2,1,5,0,2,4,2,0,2,흡수자신성
4,1,4,3,0,3,1,1,2,1,광신도
8,2,3,4,0,1,2,1,1,0,광신도
4,2,1,3,1,2,2,3,2,2,결투가조율자
3,1,2,2,0,3,2,4,2,3,요술사
6,3,2,4,0,3,2,0,1,5,광신도
3,5,0,1,1,4,0,4,5,4,요술사
2,2,3,4,0,3,2,3,1,4,요술사
2,4,3,3,0,3,1,3,3,2,대장군학살자
5,5,1,2,1,1,2,2,1,1,나무정령
8,1,0,3,1,2,0,4,6,0,결투가조율자
7,1,3,1,1,2,1,1,4,5,대장군사미라
3,4,3,3,0,2,2,3,1,4,흡수자선지자
1,2,3,4,2,0,3,4,3,2,처형자조율자신성
2,3,3,2,1,1,4,2,4,2,싸움꾼
6,2,3,1,1,1,2,1,2,1,나무정령
5,4,2,2,0,4,4,2,0,2,싸움꾼
4,1,1,1,1,4,1,4,2,2,요술사
2,1,2,3,2,1,4,0,4,3,싸움꾼
1,2,2,3,0,1,2,2,3,3,싸움꾼
1,1,4,2,2,2,1,2,4,2,대장군사미라
4,3,2,2,0,3,2,1,4,1,나무정령
1,1,1,1,2,2,5,0,2,4,요술사
7,2,2,3,0,2,1,1,3,3,광신도
5,1,2,2,0,1,3,4,1,5,처형자조율자신성
8,4,3,2,0,0,1,1,2,1,처형자나무정령
5,3,2,2,0,0,4,1,1,3,대장군사미라
7,1,2,1,1,1,2,3,2,3,흡수자선지자
2,2,1,3,0,1,2,2,5,2,싸움꾼
3,0,4,3,0,1,1,2,3,4,광신도
5,1,2,3,0,3,1,2,3,3,광신도
1,2,2,3,2,2,1,1,3,2,대장군사미라
2,2,1,1,1,3,3,2,5,0,싸움꾼
6,2,2,1,0,2,2,0,1,3,대장군사미라
1,3,2,3,0,6,2,4,3,0,결투가조율자
2,5,4,2,1,2,4,3,0,1,처형자나무정령
4,2,2,3,0,0,1,6,4,2,결투가조율자
4,3,1,2,1,1,1,3,2,2,암살자영혼
8,2,1,1,0,1,1,0,2,0,싸움꾼
6,3,0,4,0,1,3,2,2,3,결투가조율자
2,1,4,4,0,0,3,2,3,4,처형자신성
2,2,1,4,0,2,2,4,4,1,결투가조율자
1,0,2,3,0,5,1,3,2,2,광신도
8,1,0,0,0,1,1,1,2,1,싸움꾼
3,4,2,2,0,3,4,0,1,2,처형자나무정령
2,3,3,1,1,2,1,3,2,4,흡수자선지자
3,2,1,1,3,2,3,5,2,2,결투가조율자
3,2,1,1,2,4,3,3,2,1,싸움꾼
4,3,2,2,1,1,3,1,4,1,싸움꾼
7,4,1,0,2,1,6,3,2,3,싸움꾼
2,3,2,2,0,4,2,3,5,3,흡수자선지자
5,1,1,1,1,4,3,3,4,0,싸움꾼
1,2,3,2,0,3,2,4,5,3,요술사
2,3,4,3,0,4,1,2,3,0,대장군학살자
1,2,2,0,1,3,4,2,3,3,싸움꾼
2,5,2,5,2,2,3,2,2,3,광신도
1,4,3,2,1,3,2,3,1,2,대장군사미라
2,4,1,4,0,2,2,2,5,4,대장군학살자
6,3,2,2,0,1,2,2,0,3,대장군사미라
4,4,2,1,0,1,2,2,3,2,나무정령
7,1,1,0,0,4,1,1,3,3,요술사
2,1,5,2,0,2,2,6,3,3,결투가조율자
2,3,2,3,1,3,1,3,2,2,대장군사미라
2,2,1,3,1,2,3,2,3,1,싸움꾼
6,2,0,1,0,2,0,2,2,3,요술사
3,3,1,2,2,4,0,3,0,3,대장군사미라
3,4,2,1,0,3,3,1,3,3,나무정령
4,1,1,2,1,4,2,5,1,2,결투가조율자
6,2,3,2,0,2,2,3,2,2,처형자조율자신성
4,2,2,1,0,1,4,3,2,3,싸움꾼
7,4,0,3,0,1,3,1,0,2,처형자조율자신성
2,3,2,1,2,2,3,0,4,3,대장군사미라
3,4,2,2,0,1,2,3,3,5,흡수자선지자
7,2,2,3,0,0,1,3,1,4,처형자신성
8,3,2,2,0,2,0,1,1,2,대장군사미라
8,2,2,1,0,0,1,0,0,0,대장군사미라
2,5,0,5,0,1,2,4,2,3,결투가조율자
3,2,2,1,1,4,3,3,1,2,요술사
3,5,1,2,0,2,3,0,2,3,처형자나무정령
5,3,3,3,0,2,0,2,2,2,학살자명사수
1,4,0,6,0,3,1,1,5,5,대장군학살자
7,1,1,1,1,3,2,3,2,0,요술사
5,4,0,2,2,3,1,2,1,3,대장군사미라
8,1,1,0,0,4,4,3,0,3,요술사
7,1,0,2,2,0,1,2,1,1,싸움꾼
4,4,0,3,2,0,2,3,3,3,결투가조율자
1,3,1,0,1,2,2,1,3,5,나무정령
5,4,2,2,0,2,3,1,3,1,나무정령
6,3,3,3,1,0,3,2,1,2,처형자조율자신성
6,4,1,3,1,1,1,1,1,1,대장군사미라
1,5,0,5,0,3,0,3,2,3,처형자신성
5,2,4,1,2,2,2,1,1,1,대장군사미라
1,2,2,4,1,4,3,0,3,1,싸움꾼
4,1,3,1,0,1,3,5,1,3,처형자조율자신성
4,1,3,3,0,2,2,3,1,1,처형자조율자신성
1,2,3,1,1,1,3,6,4,1,싸움꾼
4,0,1,2,1,2,3,2,2,3,흡수자신성
2,6,2,3,0,4,6,2,1,2,처형자조율자신성
3,2,2,1,0,3,4,1,7,2,싸움꾼
2,3,0,4,2,2,1,3,4,1,대장군학살자
4,2,1,0,3,1,3,1,1,4,요술사
1,4,3,2,3,1,2,3,2,2,대장군사미라
3,2,3,2,1,1,4,5,4,1,싸움꾼
8,2,0,3,0,1,4,1,1,2,싸움꾼
3,3,3,2,0,3,4,2,2,1,싸움꾼
5,3,2,1,1,1,5,1,1,4,대장군사미라
5,2,1,1,0,4,4,2,4,0,싸움꾼
4,2,3,1,1,2,2,2,1,2,대장군사미라
5,2,1,3,0,1,2,6,2,2,결투가조율자
2,3,4,1,1,2,1,2,3,2,대장군사미라
7,3,1,2,0,2,2,3,3,4,요술사
4,4,2,2,1,1,2,1,3,2,나무정령
6,1,1,2,0,1,2,2,3,3,싸움꾼
1,5,1,3,1,2,1,2,1,3,대장군사미라
3,3,4,1,2,3,2,1,1,4,대장군사미라
7,3,2,2,0,2,2,1,5,2,대장군사미라
1,2,3,4,1,5,4,5,5,1,결투가조율자
3,4,1,1,0,4,5,1,0,6,요술사
2,2,6,1,0,5,2,2,5,4,요술사
2,3,2,2,1,3,3,1,2,3,대장군사미라
6,1,2,1,0,4,1,2,3,2,요술사
7,1,1,1,1,0,1,2,0,3,대장군사미라
3,2,3,3,0,2,1,3,5,1,싸움꾼
2,5,5,5,1,3,1,4,1,1,처형자신성
8,2,3,3,0,3,0,0,2,1,선봉신비우화
5,0,3,4,0,3,0,2,2,3,광신도
7,2,0,1,1,3,2,2,2,1,요술사
2,3,1,5,2,2,0,3,1,5,처형자신성
5,5,0,3,0,3,0,0,1,4,처형자나무정령
1,2,1,3,1,2,1,2,3,3,대장군사미라
2,3,4,2,0,3,1,3,2,1,흡수자선지자
2,1,2,3,0,3,4,2,3,0,싸움꾼
8,1,2,4,1,1,4,1,3,2,싸움꾼
6,1,3,1,0,1,2,1,2,3,광신도
8,3,0,3,0,1,1,1,3,0,대장군학살자
4,3,2,2,0,1,1,2,4,3,대장군사미라
1,2,3,3,1,2,4,5,1,1,처형자조율자신성
1,0,0,4,1,3,4,1,2,3,흡수자신성
2,1,2,3,1,2,2,1,6,1,나무정령
3,3,3,1,2,3,1,2,3,2,대장군사미라
6,1,2,3,0,0,1,4,2,3,처형자신성
8,1,1,4,0,1,4,0,5,1,싸움꾼
5,3,0,5,0,2,1,2,6,0,대장군학살자
4,1,2,4,0,2,2,3,3,1,결투가조율자
7,1,1,3,0,1,1,4,2,1,결투가조율자
6,3,2,3,0,2,1,2,0,1,대장군사미라
1,3,3,5,1,0,1,1,4,2,처형자신성
3,3,1,4,1,1,2,2,4,1,싸움꾼
1,3,1,1,2,3,7,2,1,1,싸움꾼
1,4,1,4,0,2,3,2,1,3,흡수자신성
7,1,1,4,0,3,1,2,3,1,대장군학살자
2,1,2,3,1,3,3,1,2,2,광신도
4,1,1,1,0,3,2,5,1,2,요술사
5,2,1,3,0,2,1,5,1,3,결투가조율자
3,2,2,4,0,4,2,2,4,6,요술사
3,2,4,1,0,0,2,3,3,5,요술사
4,3,1,2,0,2,2,2,5,1,싸움꾼
8,1,1,2,0,1,2,2,2,1,싸움꾼
3,0,2,4,0,2,3,3,2,2,처형자조율자신성
2,2,1,4,1,2,2,1,1,6,광신도
3,2,4,3,2,3,1,0,2,3,대장군사미라
3,1,1,1,0,2,4,1,2,6,요술사
8,2,1,2,0,1,2,0,2,2,싸움꾼
1,1,3,1,0,3,2,3,2,1,요술사
6,1,2,3,1,3,2,3,1,2,처형자조율자신성
2,6,1,2,1,4,2,0,1,3,대장군사미라
3,2,2,1,0,3,2,1,3,2,요술사
3,4,3,1,1,3,3,2,1,3,대장군사미라
1,2,3,3,0,4,1,4,2,1,결투가조율자
2,2,5,0,3,2,2,1,3,2,나무정령
7,1,1,1,0,2,2,2,2,4,요술사
5,1,0,2,3,2,3,1,4,3,싸움꾼
1,2,1,1,1,3,3,4,3,2,싸움꾼
8,0,0,1,0,1,1,0,2,1,싸움꾼
1,3,1,4,1,2,4,5,2,1,결투가조율자
2,4,4,2,1,2,0,2,2,2,대장군사미라
1,6,5,3,0,4,2,3,3,3,흡수자선지자
2,2,5,3,1,3,2,2,4,6,요술사
7,1,2,2,0,1,1,2,3,5,싸움꾼
1,3,2,2,1,4,4,2,3,2,싸움꾼
1,3,2,1,0,1,3,5,1,4,흡수자선지자
3,4,3,1,0,1,2,3,1,4,흡수자선지자
6,1,2,1,2,1,1,3,1,4,흡수자선지자
1,3,1,3,0,4,4,1,5,3,싸움꾼
4,3,2,1,2,2,2,0,2,4,대장군사미라
4,4,2,4,0,1,1,4,1,1,암살자영혼
7,0,1,2,1,5,3,1,3,1,싸움꾼
3,2,2,5,0,2,2,2,2,3,광신도
3,4,5,1,1,3,3,1,4,4,나무정령
8,3,3,3,0,3,1,0,2,1,처형자나무정령
8,0,2,0,0,3,1,2,2,1,요술사
3,5,4,2,0,1,2,3,1,0,처형자나무정령
4,3,0,3,2,2,2,4,1,3,결투가조율자
1,3,1,4,0,2,3,4,8,1,결투가조율자
1,5,0,4,0,3,3,1,2,2,대장군학살자
8,2,2,0,2,3,2,1,2,2,선봉신비우화
5,1,1,1,1,4,3,2,2,1,싸움꾼
4,2,2,0,0,0,3,3,3,3,처형자조율자신성
4,4,0,1,1,1,3,3,2,1,나무정령
2,2,0,3,3,5,3,4,2,0,결투가조율자
4,3,2,4,0,3,1,0,0,5,광신도
7,3,0,1,0,1,2,3,1,3,흡수자선지자
1,7,4,2,1,2,2,4,3,3,대장군사미라
2,1,5,2,1,1,2,3,3,2,싸움꾼
1,2,4,2,2,2,3,4,2,5,대장군사미라
8,4,0,3,1,2,0,0,2,0,대장군학살자
3,2,2,2,1,2,2,2,3,2,싸움꾼
2,2,3,4,3,3,3,3,3,2,처형자조율자신성
4,2,3,0,1,2,3,4,1,0,처형자조율자신성
3,4,3,1,1,6,1,3,1,2,흡수자선지자
1,5,3,3,0,5,0,0,3,1,처형자나무정령
2,4,1,0,1,3,0,1,3,1,나무정령
7,4,2,1,1,2,2,0,1,3,대장군사미라
2,1,1,4,2,2,3,2,4,2,싸움꾼
8,2,1,3,0,3,0,1,3,1,대장군학살자
2,4,2,0,1,4,4,1,3,2,나무정령
1,4,1,3,0,2,3,2,4,2,싸움꾼
6,3,1,4,0,2,3,2,4,3,대장군학살자
6,5,2,3,1,2,2,2,4,1,나무정령
6,3,2,3,0,2,2,2,1,1,대장군사미라
7,2,2,3,0,2,3,0,1,3,광신도
3,7,3,3,1,4,2,1,5,4,대장군사미라
1,2,5,2,3,5,4,4,8,2,싸움꾼
1,3,2,2,2,1,2,4,4,5,대장군사미라
4,0,3,3,1,4,2,4,2,2,결투가조율자
5,5,2,2,0,0,2,2,2,2,처형자조율자신성
4,2,3,1,1,2,1,3,3,3,흡수자선지자
8,3,4,3,0,1,3,0,4,3,싸움꾼
2,3,3,0,2,4,1,3,2,1,선봉신비우화
2,4,1,2,4,3,3,3,0,2,대장군사미라
1,3,2,5,0,1,3,3,3,3,처형자신성
2,1,2,3,0,2,4,0,6,5,흡수자신성
2,3,2,3,0,0,3,4,3,3,처형자조율자신성
8,2,1,0,0,1,2,2,0,0,싸움꾼
1,2,3,3,1,5,5,0,1,6,선봉신비우화
7,1,1,0,1,2,2,0,3,2,나무정령
2,2,1,3,1,4,3,3,3,3,싸움꾼
8,2,0,5,1,2,1,0,1,2,광신도
8,1,0,2,0,1,2,3,1,0,결투가조율자
6,1,1,3,2,1,4,1,2,1,싸움꾼
4,3,4,2,1,1,1,0,1,3,대장군사미라
6,0,0,3,0,3,0,3,3,2,대장군학살자
5,2,2,2,1,1,2,1,2,2,대장군사미라
1,3,2,4,0,4,3,1,3,4,대장군학살자
5,4,2,0,0,3,2,6,1,0,흡수자선지자
5,2,2,3,0,2,2,3,2,2,처형자조율자신성
4,1,2,2,0,1,2,3,4,4,싸움꾼
4,0,3,0,1,2,3,4,1,2,처형자조율자신성
2,0,2,3,0,4,4,2,2,3,흡수자신성
6,3,3,2,0,2,2,1,7,4,대장군사미라
8,4,1,1,0,1,3,3,1,1,싸움꾼
1,2,0,3,1,4,3,4,2,1,결투가조율자
1,0,2,1,2,2,3,3,3,1,싸움꾼
1,3,3,4,0,1,3,1,1,3,광신도
2,0,2,1,0,3,3,3,7,0,싸움꾼
3,5,1,3,0,4,1,2,3,1,대장군학살자
7,2,1,3,1,2,2,2,0,1,싸움꾼
5,1,1,4,1,1,2,2,1,4,광신도
3,1,2,3,0,5,3,1,1,2,광신도
4,4,2,2,0,3,3,0,3,3,대장군사미라
2,1,2,5,1,5,3,2,0,5,용의영혼
2,2,3,2,0,3,4,3,1,0,싸움꾼
6,3,1,1,0,2,2,2,2,1,나무정령
7,2,4,3,2,0,2,1,0,0,처형자조율자신성
3,2,2,1,0,3,2,0,2,2,선봉신비우화
8,3,1,2,0,3,2,0,5,2,대장군학살자
6,2,0,3,0,1,0,5,2,3,결투가조율자
3,2,0,1,0,5,2,5,4,1,결투가조율자
4,1,1,2,1,2,1,4,3,1,싸움꾼
4,3,1,1,1,2,3,2,2,2,나무정령
4,4,0,2,1,2,1,2,3,1,나무정령
4,1,2,2,2,0,4,6,2,1,싸움꾼
3,0,1,5,0,4,3,3,5,2,결투가조율자
1,2,3,4,1,3,2,1,2,2,광신도
3,2,3,3,0,2,4,2,1,3,처형자조율자신성
4,1,5,2,0,1,1,4,2,2,결투가조율자
3,1,3,3,0,1,2,3,3,2,처형자조율자신성
7,1,3,3,0,2,1,0,4,2,광신도
8,2,2,3,0,1,0,2,1,1,처형자신성
7,0,1,0,0,2,1,1,0,3,광신도
7,2,2,3,0,2,1,2,4,0,싸움꾼
1,5,3,2,0,4,0,5,1,2,처형자나무정령
2,1,2,4,2,1,1,2,2,5,광신도
3,2,5,3,0,2,1,2,8,3,학살자명사수
1,2,3,3,1,5,3,2,3,1,싸움꾼
7,1,1,3,0,5,1,1,1,3,광신도
7,4,3,1,0,2,2,1,1,2,처형자나무정령
6,2,1,1,1,4,3,1,3,0,나무정령
5,1,2,2,0,1,5,3,3,1,싸움꾼
2,6,3,4,0,5,2,3,5,0,대장군학살자
8,1,1,2,0,2,1,1,3,1,싸움꾼
7,2,2,1,4,0,2,2,2,1,싸움꾼
2,4,1,4,0,1,2,2,4,6,대장군학살자
6,4,1,3,0,0,3,2,1,2,처형자조율자신성
1,2,2,2,1,5,6,5,2,3,결투가조율자
7,1,2,1,0,0,3,4,1,2,처형자조율자신성
8,1,1,4,1,3,0,0,0,0,광신도
7,1,1,1,0,1,3,2,4,4,싸움꾼
8,1,1,1,0,1,1,0,1,0,싸움꾼
3,2,2,1,2,2,4,5,2,2,결투가조율자
1,3,3,4,1,2,3,3,3,6,대장군사미라
5,2,5,3,1,3,2,1,0,3,대장군사미라
2,2,1,1,1,3,3,3,3,3,요술사
4,1,0,3,1,3,0,3,2,3,결투가조율자
2,3,2,4,2,1,1,2,2,0,대장군사미라
3,1,1,2,1,2,1,4,1,4,대장군사미라
1,4,3,2,1,3,5,3,3,5,싸움꾼
7,4,1,3,0,0,2,0,1,3,대장군사미라
2,3,1,1,1,3,1,5,3,3,흡수자선지자
4,2,3,1,0,3,1,6,3,0,결투가조율자
2,2,0,3,0,4,6,3,2,3,결투가조율자
4,4,2,1,0,0,1,5,4,5,흡수자선지자
8,1,0,0,0,0,2,0,1,2,요술사
8,2,1,1,1,2,1,0,1,1,대장군사미라
5,2,2,2,0,3,2,3,7,5,요술사
3,4,2,2,0,1,0,3,2,2,흡수자선지자
3,4,1,4,1,5,2,1,2,0,나무정령
8,1,2,2,0,0,0,0,1,0,광신도
8,2,0,1,0,0,0,2,2,1,싸움꾼
8,3,2,2,0,0,0,0,1,0,대장군사미라
4,1,2,2,0,3,5,2,2,1,싸움꾼
1,4,4,2,0,3,3,1,2,1,나무정령
3,2,1,3,1,3,1,5,2,0,결투가조율자
6,2,1,1,0,3,1,2,5,3,요술사
2,0,0,3,0,0,1,1,1,0,광신도
5,2,1,1,0,2,4,2,3,2,싸움꾼
3,4,2,4,0,4,3,4,1,1,처형자조율자신성
1,4,3,6,1,2,3,0,2,1,나무정령
4,2,1,1,0,0,5,2,3,3,싸움꾼
5,1,2,1,1,1,3,2,2,3,싸움꾼
1,3,3,1,3,2,1,2,2,3,대장군사미라
6,3,1,2,0,1,0,2,0,5,대장군사미라
8,1,1,2,1,1,1,1,2,1,싸움꾼
2,4,3,3,2,4,3,1,2,2,대장군사미라
2,2,1,0,0,5,4,2,1,4,요술사
6,2,4,3,0,1,2,2,4,1,싸움꾼
5,2,3,4,2,3,1,3,1,2,처형자신성
4,1,2,1,1,3,4,2,2,2,싸움꾼
4,3,2,3,0,2,3,1,1,2,대장군사미라
4,5,2,1,1,1,2,2,4,1,나무정령
2,1,3,1,1,1,2,4,4,3,결투가조율자
3,4,1,2,0,2,2,4,3,3,나무정령
6,2,1,0,0,1,4,3,1,2,싸움꾼
1,2,2,2,0,5,3,4,2,0,싸움꾼
4,1,2,1,1,2,3,6,3,4,요술사
5,1,2,4,0,1,1,6,2,2,결투가조율자
5,1,3,5,0,3,3,2,1,1,광신도
3,4,2,2,0,3,1,1,7,2,대장군사미라
3,5,2,2,2,1,2,4,4,1,나무정령
4,2,0,3,1,2,1,3,1,3,대장군사미라
7,2,2,2,0,2,2,4,3,1,싸움꾼
3,2,4,3,1,2,3,4,1,2,처형자조율자신성
2,6,1,3,0,2,3,1,4,1,나무정령
2,2,3,6,0,8,1,1,3,2,광신도
2,0,1,3,1,4,1,1,5,2,대장군학살자
3,3,2,3,1,1,3,3,4,3,처형자조율자신성
3,1,1,4,0,1,5,1,4,1,싸움꾼
6,2,1,0,0,0,3,3,2,4,요술사
6,1,1,2,1,2,6,2,2,2,싸움꾼
5,3,2,1,0,1,2,2,3,3,흡수자선지자
2,2,3,2,2,2,2,3,4,2,싸움꾼
1,3,1,3,1,4,2,4,2,2,결투가조율자
4,2,1,1,3,2,3,5,6,3,결투가조율자
2,3,4,3,1,3,2,4,2,0,결투가조율자
2,1,2,2,0,5,1,3,3,7,요술사
2,3,2,2,2,2,2,2,3,2,대장군사미라
2,1,1,1,2,3,2,3,1,4,요술사
4,3,2,2,1,2,3,1,4,1,나무정령
7,2,2,1,1,2,1,3,1,1,흡수자선지자
1,3,2,2,1,5,4,4,1,1,싸움꾼
6,2,0,1,0,3,3,4,1,2,요술사
1,4,4,2,0,4,2,1,1,2,처형자나무정령
8,1,2,3,1,0,2,2,3,2,처형자조율자신성
1,1,1,2,1,3,4,1,4,1,싸움꾼
3,3,0,0,0,1,6,4,4,2,싸움꾼
2,2,3,3,0,2,3,3,6,7,처형자조율자신성
8,2,0,1,0,1,2,3,1,2,결투가조율자
4,3,1,3,0,3,3,1,3,1,싸움꾼
3,2,3,4,2,2,2,4,1,2,결투가조율자
6,1,2,2,0,1,2,2,2,0,싸움꾼
1,2,2,2,2,4,2,3,3,2,싸움꾼
1,3,2,3,1,3,2,7,4,1,결투가조율자
3,2,2,1,0,1,2,5,2,1,결투가조율자
6,2,0,5,0,3,2,0,2,1,대장군학살자
1,2,2,3,1,1,1,4,2,3,처형자신성
2,0,2,3,1,4,3,4,1,4,요술사
1,4,3,4,1,2,5,3,4,4,싸움꾼
8,3,0,2,1,1,0,1,1,3,대장군사미라
3,6,3,2,1,2,0,2,6,2,처형자나무정령
7,2,2,2,1,1,1,2,2,2,대장군사미라
3,2,2,1,0,2,4,1,1,3,대장군사미라
2,5,2,3,1,6,2,3,2,4,대장군사미라
4,3,1,1,1,3,3,2,1,3,요술사
4,1,0,1,1,4,5,2,0,2,요술사
7,2,1,1,0,1,2,1,2,0,싸움꾼
3,3,3,2,0,6,2,2,3,3,선봉신비우화
4,3,2,4,0,2,6,3,6,2,싸움꾼
1,3,4,2,1,5,4,4,1,3,대장군사미라
2,4,1,2,0,5,3,0,0,5,요술사
2,8,1,3,0,2,5,7,0,6,결투가조율자
7,3,2,0,0,3,3,1,1,1,대장군사미라
3,4,1,1,1,3,1,4,0,1,나무정령
6,4,4,2,0,2,0,2,1,1,처형자나무정령
6,3,1,1,1,2,2,1,3,2,나무정령
3,3,2,3,1,2,4,4,3,1,싸움꾼
6,2,2,2,1,2,3,4,3,1,싸움꾼
5,4,2,4,0,1,1,3,1,2,처형자신성
4,3,1,4,0,2,3,2,2,2,대장군학살자
1,1,4,1,1,2,2,3,4,4,요술사
2,4,2,0,1,2,3,5,6,3,나무정령
1,2,2,1,2,1,2,3,3,4,요술사
6,0,1,3,2,1,1,2,2,2,결투가조율자
2,3,3,2,0,3,4,2,3,1,싸움꾼
1,3,1,0,0,0,5,0,3,4,싸움꾼
1,0,1,1,1,1,2,2,6,4,요술사
4,4,1,0,0,3,0,1,3,5,요술사
6,1,2,2,0,2,4,3,1,1,싸움꾼
6,4,1,1,1,1,2,0,3,3,나무정령
5,3,2,2,0,2,3,2,1,1,싸움꾼
4,2,2,4,0,2,1,3,4,4,처형자신성
2,4,1,3,0,2,1,2,1,3,대장군사미라
1,2,3,2,1,1,0,3,3,4,대장군사미라
2,5,2,3,0,1,2,2,4,4,싸움꾼
3,1,1,1,0,3,5,1,3,3,싸움꾼
1,1,5,2,0,4,2,5,4,3,결투가조율자
2,3,2,3,1,4,5,3,3,5,싸움꾼
6,3,1,5,0,2,0,5,1,0,결투가조율자
2,1,5,4,0,0,2,3,2,5,처형자신성
5,5,2,3,0,2,1,2,0,2,처형자나무정령
2,3,2,4,0,2,4,1,2,3,흡수자신성
3,2,1,4,1,5,2,0,1,2,선봉신비우화
1,2,4,3,0,3,2,3,3,2,처형자조율자신성
1,3,2,6,0,1,2,0,4,4,처형자신성
1,4,4,3,1,3,1,4,3,2,암살자영혼
1,4,2,4,1,3,3,3,3,3,대장군사미라
7,3,2,1,2,3,1,2,2,2,대장군사미라
4,3,3,2,0,2,1,3,8,2,흡수자선지자
5,5,2,1,1,1,1,3,1,3,흡수자선지자
7,3,2,0,1,2,2,2,0,3,대장군사미라
7,3,1,2,2,1,1,4,0,2,암살자영혼
4,2,2,1,0,0,5,3,2,2,처형자조율자신성
2,2,4,1,0,4,3,1,5,2,선봉신비우화
8,2,1,3,0,0,1,2,1,2,처형자신성
2,4,0,2,1,4,0,1,3,1,나무정령
2,3,2,3,2,2,3,2,1,3,대장군사미라
3,4,3,2,0,1,4,1,6,3,싸움꾼
5,3,1,1,0,2,5,2,3,1,싸움꾼
4,4,1,4,0,1,3,1,1,2,처형자조율자신성
1,3,5,1,0,4,3,1,1,2,선봉신비우화
6,3,4,3,1,2,3,2,0,1,학살자명사수
4,4,1,3,0,2,4,2,2,2,싸움꾼
1,2,1,2,0,3,5,3,1,3,요술사
2,4,3,1,0,3,1,4,1,4,흡수자선지자
2,2,2,3,2,1,4,0,2,4,용의영혼
3,3,1,3,1,3,2,0,1,2,대장군사미라
2,1,2,2,0,4,4,1,3,2,싸움꾼
2,1,7,3,0,2,2,3,1,2,처형자조율자신성
5,2,3,2,0,3,1,2,6,3,대장군사미라
1,3,3,2,3,2,4,1,3,1,싸움꾼
4,3,2,3,1,3,1,1,3,5,대장군사미라
