id,조합상세,사용된 아이템,사용된 챔프,분해된 아이템,조합이름
105,9 광신도,"모렐로노미콘,무한의 대검,최후의 속삭임,루난의 허리케인,구원,모렐로노미콘,용의 발톱,푸른 파수꾼","엘리스,트위스티드 페이트,파이크,블라디미르,시비르,칼리스타,아트록스,질리언","1B.F. 대검,3거인의 허리띠,2쓸데없이 큰 지팡이,2곡궁,3음전자 망토,3여신의 눈물,2연습용 장갑",처형자신성
106,"6 싸움꾼,3 용의 영혼,3 요술사","지크의 전령,지크의 전령,죽음의 검,루난의 허리케인,수은,쇼진의 창,정의의 손길,쇼진의 창","브랜드,탐 켄치,룰루,바이,누누와 윌럼프,쉬바나,아우렐리온 솔,초가스","6B.F. 대검,2거인의 허리띠,1곡궁,2음전자 망토,3여신의 눈물,2연습용 장갑",흡수자선지자
107,"4 영혼,4 선봉대,2 명사수","지크의 전령,지크의 전령,구인수의 격노검,최후의 속삭임,무한의 대검,수은,침묵의 장막,정의의 손길,구원","오공,다이애나,티모,시비르,유미,킨드레드,세주아니,아트록스","3B.F. 대검,3거인의 허리띠,1쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,1음전자 망토,2여신의 눈물,5연습용 장갑",처형자나무정령
108,"8 나무정령,3 요술사,3 귀감,2 싸움꾼,1 황제","침묵의 장막,거인의 결의,마법공학 총검,용의 발톱,나무정령 새싹,마법공학 총검,보석 건틀릿,용의 발톱","마오카이,룰루,라칸,베이가,누누와 윌럼프,아우렐리온 솔,자야,아지르","2B.F. 대검,1뒤집개,3쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,5음전자 망토,2연습용 장갑",요술사
109,"5 암살자,4 닌자,2 신비술사","강철의 솔라리 펜던트,얼어붙은 심장,스태틱의 단검,얼어붙은 심장,수호 천사,요우무의 유령검,정의의 손길,고속 연사포,최후의 속삭임,침묵의 장막","제드,파이크,케넨,아칼리,세주아니,쉔,탈론,질리언","1B.F. 대검,1뒤집개,1쓸데없이 큰 지팡이,5쇠사슬 조끼,4곡궁,4여신의 눈물,4연습용 장갑",결투가
110,"9 대장군,3 학살자,2 암살자,2 싸움꾼,2 명사수,2 귀감,1 황제,1 우두머리,1 무모한 자","이온 충격기,마법공학 총검,수은,거인의 결의,고속 연사포,거인 학살자,모렐로노미콘,수호 천사,최후의 속삭임,대장군의 깃발,대장군의 깃발,라바돈의 죽음모자","니달리,파이크,바이,자르반 4세,카타리나,트린다미어,아지르,사미라,세트","3B.F. 대검,2뒤집개,3거인의 허리띠,5쓸데없이 큰 지팡이,2쇠사슬 조끼,5곡궁,2음전자 망토,2연습용 장갑",영혼시비르
111,"4 암살자,4 닌자,2 영혼,2 신비술사","고속 연사포,무한의 대검,강철의 솔라리 펜던트,모렐로노미콘","다이애나,제드,파이크,아칼리,유미,케넨,쉔","1B.F. 대검,1거인의 허리띠,2쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,1연습용 장갑",영혼시비르
112,"4 선봉대,3 학살자,3 용의 영혼,2 흡수자","모렐로노미콘,용의 발톱,서풍,도적의 장갑,강철의 솔라리 펜던트,즈롯 차원문,죽음의 검,정의의 손길,최후의 속삭임,구인수의 격노검,라바돈의 죽음모자","브라움,노틸러스,모르가나,세주아니,아트록스,올라프,트린다미어,스웨인","2B.F. 대검,3거인의 허리띠,5쓸데없이 큰 지팡이,1쇠사슬 조끼,3곡궁,3음전자 망토,1여신의 눈물,4연습용 장갑",싸움꾼
113,"4 신성,4 신비술사,2 처형자,2 조율자,2 영혼,2 결투가,1 황제,1 닌자","침묵의 장막,구인수의 격노검,용의 발톱,고속 연사포,구인수의 격노검,수은,모렐로노미콘,거인의 결의,용의 발톱,덫 발톱","잭스,유미,이렐리아,킨드레드,쉔,케일,아지르,질리언,리 신","2거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,5곡궁,5음전자 망토,3연습용 장갑",광신도
114,"4 선봉대,2 영혼,2 신비술사,2 명사수,1 황제,1 대장장이,1 닌자","힘의 성배,최후의 속삭임,강철의 솔라리 펜던트,최후의 속삭임,고속 연사포,수은,모렐로노미콘,덤불 조끼,거인의 결의,수호자의 흉갑","오공,티모,유미,시비르,세주아니,쉔,아지르,오른","1뒤집개,1거인의 허리띠,2쓸데없이 큰 지팡이,5쇠사슬 조끼,5곡궁,2음전자 망토,1여신의 눈물,3연습용 장갑",광신도
115,"4 선봉대,3 학살자,3 용의 영혼","모렐로노미콘,용의 발톱,덤불 조끼,수호 천사,즈롯 차원문,고속 연사포,무한의 대검,정의의 손길","브라움,파이크,세주아니,아트록스,아트록스,올라프,트린다미어,스웨인","2B.F. 대검,2거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,2음전자 망토,1여신의 눈물,2연습용 장갑",선봉학살올라프
116,"4 신성,3 처형자,3 조율자,2 영혼,2 신비술사,2 귀감,1 황제,1 추방자,1 닌자","지크의 전령,가고일 돌갑옷,루난의 허리케인,죽음의 검,고속 연사포,구인수의 격노검,수은,침묵의 장막,도적의 장갑,수호 천사,구원,푸른 파수꾼,라바돈의 죽음모자","유미,이렐리아,킨드레드,쉔,자야,케일,아지르,리 신,요네","4B.F. 대검,2거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,3음전자 망토,3여신의 눈물,4연습용 장갑",귀감
117,"6 싸움꾼,3 용의 영혼,3 나무정령,1 우두머리,1 대장장이","지크의 전령,구인수의 격노검,루난의 허리케인,고속 연사포,강철의 솔라리 펜던트,서풍,푸른 파수꾼,정의의 손길,정의의 손길,마법공학 총검","마오카이,바이,누누와 윌럼프,쉬바나,초가스,스웨인,오른,리 신,세트","2B.F. 대검,2거인의 허리띠,3쓸데없이 큰 지팡이,1쇠사슬 조끼,4곡궁,2음전자 망토,4여신의 눈물,2연습용 장갑",처형자조율자신성
118,"4 신성,3 처형자,3 조율자,3 결투가,2 영혼,2 신비술사,2 귀감,1 황제,1 닌자","도적의 장갑,지크의 전령,지크의 전령,지크의 전령,죽음의 검,루난의 허리케인,정의의 손길,정의의 손길,수은,결투가의 열정,덤불 조끼","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,리 신,아지르","5B.F. 대검,1뒤집개,3거인의 허리띠,2쇠사슬 조끼,2곡궁,2음전자 망토,2여신의 눈물,5연습용 장갑",처형자나무정령
119,"4 흡수자,4 신성,2 처형자,2 조율자,2 영혼,2 신비술사,2 선지자,2 결투가,1 닌자","지크의 전령,구원,서풍,수호 천사,결투가의 열정,모렐로노미콘,덤불 조끼,신성의 검,워모그의 갑옷,덤불 조끼","블라디미르,킨드레드,유미,이렐리아,쉔,케일,모르가나,리 신,스웨인","3B.F. 대검,2뒤집개,6거인의 허리띠,1쓸데없이 큰 지팡이,5쇠사슬 조끼,1곡궁,1음전자 망토,1여신의 눈물",선봉신비우화
120,"4 귀감,3 처형자,3 나무정령,2 조율자,2 신성,2 선봉대,1 황제,1 대장장이,1 닌자","구원,덤불 조끼,수호자의 흉갑,가고일 돌갑옷,정의의 손길,수호 천사,고속 연사포,모렐로노미콘","라칸,이렐리아,킨드레드,쉔,자야,케일,아지르,오른","1B.F. 대검,1뒤집개,2거인의 허리띠,1쓸데없이 큰 지팡이,5쇠사슬 조끼,2곡궁,1음전자 망토,2여신의 눈물,1연습용 장갑",선봉학살올라프
121,"3 처형자,2 영혼,2 신성,2 신비술사,2 귀감,1 추방자,1 우두머리","푸른 파수꾼,정의의 손길,정의의 손길,수호 천사,수은,용의 발톱,태양불꽃 망토","잭스,유미,킨드레드,자야,케일,세트,요네,질리언","1B.F. 대검,1거인의 허리띠,2쇠사슬 조끼,3음전자 망토,4여신의 눈물,3연습용 장갑",귀감
122,"4 선봉대,4 명사수,2 영혼,2 신비술사,1 무모한 자,1 대장장이","모렐로노미콘,쇼진의 창,죽음의 검,최후의 속삭임,수호 천사,도적의 장갑,이온 충격기,스태틱의 단검,즈롯 차원문,거인 학살자,힘의 성배,수호자의 흉갑","브라움,티모,시비르,유미,세주아니,사미라,질리언,오른","5B.F. 대검,1뒤집개,2거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,4곡궁,2음전자 망토,3여신의 눈물,3연습용 장갑",나무정령
123,"4 처형자,3 나무정령,2 영혼,2 귀감,1 황제,1 추방자,1 우두머리,1 대장장이","침묵의 장막,보석 건틀릿,정의의 손길,나무정령 새싹,보석 건틀릿,덫 발톱,강철의 솔라리 펜던트,강철의 솔라리 펜던트,침묵의 장막","유미,킨드레드,자야,케일,세트,아지르,오른,요네","1뒤집개,1거인의 허리띠,4쓸데없이 큰 지팡이,4쇠사슬 조끼,1음전자 망토,1여신의 눈물,6연습용 장갑",선봉신비우화
124,"4 흡수자,3 학살자,2 선봉대","침묵의 장막,태양불꽃 망토,보석 건틀릿,루난의 허리케인,죽음의 검,정의의 손길,루난의 허리케인,수호 천사,보석 건틀릿,덫 발톱,용의 발톱","블라디미르,다리우스,아트록스,모르가나,세주아니,올라프,트린다미어,스웨인","3B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,4음전자 망토,1여신의 눈물,5연습용 장갑",요술사
125,"4 대장군,3 학살자,2 선봉대,2 결투가,1 황제,1 우두머리,1 무모한 자","모렐로노미콘,즈롯 차원문,죽음의 검,정의의 손길,수은,고속 연사포,지크의 전령,대장군의 깃발,이온 충격기,구인수의 격노검","세주아니,아트록스,올라프,트린다미어,리 신,사미라,아지르,세트","3B.F. 대검,1뒤집개,4거인의 허리띠,3쓸데없이 큰 지팡이,4곡궁,2음전자 망토,1여신의 눈물,2연습용 장갑",처형자조율자신성
126,"4 영혼,3 광신도,2 신비술사,2 선봉대,2 명사수,1 황제","최후의 속삭임,거인 학살자,수은,지크의 전령,지크의 전령,힘의 성배,강철의 솔라리 펜던트,거인의 결의,수호 천사","티모,시비르,킨드레드,유미,세주아니,아트록스,질리언,아지르","4B.F. 대검,2거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,2음전자 망토,1여신의 눈물,2연습용 장갑",선봉학살올라프
127,"6 대장군,4 학살자,2 암살자,2 선봉대,2 귀감,1 황제","무한의 대검,마법공학 총검,수은,수은,가고일 돌갑옷,대장군의 깃발,거인의 결의,정의의 손길","가렌,파이크,자르반 4세,카타리나,트린다미어,세주아니,올라프,아지르","2B.F. 대검,1뒤집개,1거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,3음전자 망토,1여신의 눈물,4연습용 장갑",나무정령
128,"3 처형자,3 나무정령,2 영혼,2 신비술사,2 선봉대,2 귀감,1 우두머리,1 대장장이","덫 발톱,나무정령 새싹,보석 건틀릿,루덴의 메아리,모렐로노미콘,즈롯 차원문,구원,최후의 속삭임,루난의 허리케인,덫 발톱,침묵의 장막,태양불꽃 망토","잔나,유미,킨드레드,케일,세주아니,자야,세트,오른","1뒤집개,6거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,2음전자 망토,2여신의 눈물,5연습용 장갑",처형자나무정령
129,"4 처형자,4 신성,2 조율자,2 영혼,2 신비술사,1 닌자","푸른 파수꾼,침묵의 장막,지크의 전령,힘의 성배,지크의 전령,태양불꽃 망토,정의의 손길,고속 연사포,수은,푸른 파수꾼,모렐로노미콘","오공,유미,이렐리아,킨드레드,쉔,자야,케일,리 신","2B.F. 대검,4거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,2음전자 망토,6여신의 눈물,3연습용 장갑",처형자나무정령
130,"3 조율자,2 암살자,2 신비술사,1 황제,1 추방자,1 대장장이,1 닌자","정의의 손길,수호 천사,거인 학살자,루난의 허리케인,모렐로노미콘,즈롯 차원문,마법공학 총검,정의의 손길,거인의 결의","파이크,유미,쉔,쉔,탈론,아지르,오른,리 신,요네","3B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,4곡궁,1음전자 망토,2여신의 눈물,2연습용 장갑",영혼시비르
131,"4 닌자,3 행운,3 암살자","서풍,모렐로노미콘,고속 연사포,강철의 솔라리 펜던트","탐 켄치,애니,제드,카타리나,아칼리,케넨,쉔","2거인의 허리띠,2쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,1음전자 망토",영혼시비르
132,"6 용의 영혼,3 학살자,2 선봉대,2 명사수,2 결투가,1 무모한 자","루덴의 메아리,루난의 허리케인,수호 천사,죽음의 검,수은,고속 연사포,라바돈의 죽음모자,강철의 솔라리 펜던트,라바돈의 죽음모자","트리스타나,브라움,세주아니,아우렐리온 솔,올라프,트린다미어,리 신,사미라,스웨인","3B.F. 대검,6쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,2음전자 망토,1여신의 눈물,1연습용 장갑",대장군학살자
133,"7 요술사,3 용의 영혼,3 나무정령,2 흡수자,1 대장장이","강철의 솔라리 펜던트,푸른 파수꾼,이온 충격기,덤불 조끼,즈롯 차원문,마법공학 총검,푸른 파수꾼,마법공학 총검,요술사의 모자","브랜드,룰루,애니,베이가,모르가나,아우렐리온 솔,스웨인,오른","2B.F. 대검,1뒤집개,1거인의 허리띠,4쓸데없이 큰 지팡이,3쇠사슬 조끼,1곡궁,1음전자 망토,5여신의 눈물",요술사
134,"6 학살자,3 용의 영혼,2 선봉대,2 명사수,1 무모한 자","루난의 허리케인,푸른 파수꾼,얼어붙은 심장,지크의 전령,고속 연사포,루난의 허리케인,죽음의 검,최후의 속삭임,루난의 허리케인","트리스타나,브라움,파이크,다리우스,세주아니,올라프,트린다미어,사미라","3B.F. 대검,1거인의 허리띠,1쇠사슬 조끼,6곡궁,3음전자 망토,3여신의 눈물,1연습용 장갑",처형자신성
135,"6 학살자,3 용의 영혼,2 선봉대,2 명사수,1 무모한 자","힘의 성배,라바돈의 죽음모자,거인의 결의,얼어붙은 심장,강철의 솔라리 펜던트,정의의 손길,용의 발톱,죽음의 검,가고일 돌갑옷,수호 천사,최후의 속삭임","트리스타나,브라움,파이크,다리우스,아트록스,올라프,트린다미어,사미라","3B.F. 대검,3쓸데없이 큰 지팡이,5쇠사슬 조끼,2곡궁,4음전자 망토,3여신의 눈물,2연습용 장갑",귀감
136,"4 선봉대,3 학살자,3 용의 영혼,2 명사수,2 결투가,1 무모한 자","강철의 솔라리 펜던트,스태틱의 단검,수호 천사,용의 발톱,루난의 허리케인,죽음의 검,구인수의 격노검,침묵의 장막,최후의 속삭임,수호 천사,루난의 허리케인","트리스타나,브라움,세주아니,아트록스,올라프,트린다미어,리 신,사미라","4B.F. 대검,2쓸데없이 큰 지팡이,4쇠사슬 조끼,5곡궁,4음전자 망토,1여신의 눈물,2연습용 장갑",대장군학살자
137,"6 결투가,4 학살자,2 신성,1 추방자,1 무모한 자","강철의 솔라리 펜던트,강철의 솔라리 펜던트,보석 건틀릿,모렐로노미콘,덤불 조끼,정의의 손길,루난의 허리케인,수은,덫 발톱","야스오,잭스,다리우스,칼리스타,아트록스,올라프,트린다미어,리 신,사미라","2거인의 허리띠,4쓸데없이 큰 지팡이,4쇠사슬 조끼,1곡궁,2음전자 망토,1여신의 눈물,4연습용 장갑",선봉신비우화
138,"5 선지자,4 암살자,2 조율자,1 추방자,1 닌자","지크의 전령,푸른 파수꾼,무한의 대검,고속 연사포,수호 천사,모렐로노미콘,수호 천사,용의 발톱","다이애나,잔나,파이크,이렐리아,아칼리,탈론,모르가나,요네","4B.F. 대검,2거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,2음전자 망토,2여신의 눈물,1연습용 장갑",선봉학살올라프
139,"6 나무정령,4 싸움꾼,2 처형자,2 귀감,1 대장장이","마법공학 총검,강철의 솔라리 펜던트,쇼진의 창,거인 학살자,구인수의 격노검,정의의 손길,최후의 속삭임","탐 켄치,룰루,바이,라칸,누누와 윌럼프,초가스,케일,자야,오른","3B.F. 대검,3쓸데없이 큰 지팡이,1쇠사슬 조끼,3곡궁,2여신의 눈물,2연습용 장갑",싸움꾼
140,"7 요술사,3 용의 영혼,3 나무정령,2 선봉대,1 황제,1 대장장이","덫 발톱,지크의 전령,거인의 결의,용의 발톱,가고일 돌갑옷,수호 천사,마법공학 총검,정의의 손길,모렐로노미콘,용의 정령,쇼진의 창","트위스티드 페이트,브랜드,룰루,애니,베이가,세주아니,아우렐리온 솔,오른,아지르","4B.F. 대검,1뒤집개,3거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,1곡궁,3음전자 망토,2여신의 눈물,2연습용 장갑",귀감
141,"4 선지자,3 조율자,3 신비술사,2 흡수자,2 암살자,2 신성,1 추방자,1 닌자","강철의 솔라리 펜던트,모렐로노미콘,스태틱의 단검,구원,무한의 대검,거인 학살자,최후의 속삭임,덤불 조끼,가고일 돌갑옷,덫 발톱","나서스,잔나,이렐리아,모르가나,쉔,탈론,요네,질리언","2B.F. 대검,3거인의 허리띠,2쓸데없이 큰 지팡이,4쇠사슬 조끼,3곡궁,1음전자 망토,2여신의 눈물,3연습용 장갑",처형자나무정령
142,"4 학살자,3 용의 영혼,2 선봉대,2 결투가,1 추방자","수호자의 흉갑,수호 천사,용의 발톱,스태틱의 단검,덫 발톱,모렐로노미콘,수호 천사,정의의 손길,푸른 파수꾼","파이크,브라움,올라프,올라프,트린다미어,리 신,스웨인,요네","2B.F. 대검,1뒤집개,2거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,1곡궁,2음전자 망토,4여신의 눈물,2연습용 장갑",귀감
143,"4 선봉대,3 학살자,3 용의 영혼,2 결투가,1 추방자,1 대장장이","수은,수호 천사,이온 충격기,라바돈의 죽음모자,루난의 허리케인,죽음의 검,수호 천사,덫 발톱","브라움,트린다미어,세주아니,아우렐리온 솔,아트록스,올라프,리 신,오른,요네","4B.F. 대검,1거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,3음전자 망토,2연습용 장갑",귀감
144,"4 신비술사,4 선봉대,3 우화,1 대장장이","태양불꽃 망토,즈롯 차원문,힘의 성배,수호 천사,구인수의 격노검,정의의 손길,태양불꽃 망토,덫 발톱,쇼진의 창","노틸러스,유미,니코,세주아니,아트록스,초가스,오른,질리언","2B.F. 대검,4거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,1음전자 망토,3여신의 눈물,2연습용 장갑",처형자나무정령
145,"5 선지자,3 조율자,2 흡수자,2 암살자,2 신성,2 신비술사,1 추방자,1 우두머리,1 닌자","강철의 솔라리 펜던트,마법공학 총검,용의 발톱,모렐로노미콘,스태틱의 단검,스태틱의 단검,무한의 대검,최후의 속삭임,수호 천사,덤불 조끼,이온 충격기,루덴의 메아리","나서스,잔나,파이크,이렐리아,모르가나,쉔,탈론,세트,요네","3B.F. 대검,1거인의 허리띠,5쓸데없이 큰 지팡이,4쇠사슬 조끼,3곡궁,3음전자 망토,3여신의 눈물,2연습용 장갑",귀감
146,"4 신성,3 처형자,2 영혼,2 신비술사,2 선봉대","힘의 성배,용의 발톱,서풍,강철의 솔라리 펜던트,구인수의 격노검,수호 천사,정의의 손길,얼어붙은 심장,덫 발톱","오공,유미,킨드레드,세주아니,자야,케일,리 신,질리언","1B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,1곡궁,4음전자 망토,3여신의 눈물,2연습용 장갑",요술사
147,"6 귀감,3 나무정령,2 처형자,1 황제,1 대장장이,1 닌자","침묵의 장막,마법공학 총검,강철의 솔라리 펜던트,모렐로노미콘,고속 연사포,마법공학 총검,수호 천사,정의의 손길,정의의 손길","티모,라칸,자르반 4세,케넨,케일,자야,아지르,오른","3B.F. 대검,1거인의 허리띠,4쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,2여신의 눈물,3연습용 장갑",싸움꾼
148,"6 용의 영혼,3 학살자,2 선봉대,1 무모한 자","태양불꽃 망토,루난의 허리케인,수호 천사,최후의 속삭임,서풍,수호 천사,수은,수호 천사,쇼진의 창","브랜드,브라움,아우렐리온 솔,세주아니,올라프,트린다미어,사미라,스웨인","4B.F. 대검,2거인의 허리띠,4쇠사슬 조끼,2곡궁,3음전자 망토,1여신의 눈물,2연습용 장갑",선봉학살올라프
149,"3 학살자,3 용의 영혼,2 흡수자,2 선봉대,2 명사수,1 무모한 자","태양불꽃 망토,고속 연사포,덫 발톱,죽음의 검,루난의 허리케인,보석 건틀릿,태양불꽃 망토,거인의 결의","트리스타나,브라움,파이크,모르가나,세주아니,트린다미어,사미라,스웨인","2B.F. 대검,3거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,1음전자 망토,2연습용 장갑",영혼시비르
150,"4 신비술사,4 선봉대,3 우화","거인 학살자,태양불꽃 망토,라바돈의 죽음모자,수호 천사,라바돈의 죽음모자,힘의 성배,힘의 성배,덤불 조끼,워모그의 갑옷","잔나,노틸러스,니코,유미,초가스,세주아니,아트록스,질리언","2B.F. 대검,3거인의 허리띠,4쓸데없이 큰 지팡이,4쇠사슬 조끼,1곡궁,2음전자 망토,2여신의 눈물",요술사
151,"8 결투가,4 신성,1 추방자","강철의 솔라리 펜던트,강철의 솔라리 펜던트,거인의 결의,루덴의 메아리,정의의 손길,정의의 손길,수은,결투가의 열정,마법공학 총검,푸른 파수꾼","나서스,야스오,피오라,잭스,칼리스타,트린다미어,케일,리 신","1B.F. 대검,1뒤집개,4쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,1음전자 망토,5여신의 눈물,3연습용 장갑",싸움꾼
152,"4 조율자,4 신성,2 처형자,2 영혼,2 신비술사,2 결투가,1 추방자,1 닌자","지크의 전령,라바돈의 죽음모자,거인 학살자,덤불 조끼,고속 연사포,구인수의 격노검,수은,워모그의 갑옷,수호 천사","잭스,유미,이렐리아,킨드레드,쉔,케일,요네,리 신","3B.F. 대검,3거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,1음전자 망토,1연습용 장갑",영혼시비르
153,"4 선봉대,3 처형자,2 신성,2 신비술사","용의 발톱,지크의 전령,죽음의 검,마법공학 총검,거인 학살자,도적의 장갑,루덴의 메아리,모렐로노미콘,루난의 허리케인,정의의 손길,고속 연사포","오공,노틸러스,유미,자야,세주아니,아트록스,케일,질리언","5B.F. 대검,2거인의 허리띠,3쓸데없이 큰 지팡이,4곡궁,3음전자 망토,2여신의 눈물,3연습용 장갑",싸움꾼
154,"4 선봉대,3 학살자,3 용의 영혼,2 조율자,2 명사수,1 무모한 자,1 닌자","힘의 성배,강철의 솔라리 펜던트,용의 발톱,수호 천사,스태틱의 단검,최후의 속삭임,수호자의 흉갑,무한의 대검,지크의 전령","트리스타나,파이크,브라움,세주아니,쉔,아트록스,올라프,사미라","3B.F. 대검,1뒤집개,1거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,3음전자 망토,2여신의 눈물,2연습용 장갑",귀감
155,"6 용의 영혼,3 학살자,2 흡수자,2 신비술사,2 명사수,1 무모한 자,1 닌자","강철의 솔라리 펜던트,힘의 성배,지크의 전령,고속 연사포,피바라기,스태틱의 단검,이온 충격기,푸른 파수꾼,태양불꽃 망토","트리스타나,브라움,파이크,모르가나,쉔,아우렐리온 솔,올라프,사미라,스웨인,질리언","2B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,3음전자 망토,4여신의 눈물",처형자신성
156,"4 결투가,3 학살자,3 대장군,2 신성,2 명사수,2 귀감,1 황제,1 무모한 자","무한의 대검,고속 연사포,구인수의 격노검,최후의 속삭임,모렐로노미콘,모렐로노미콘,덫 발톱,루덴의 메아리,최후의 속삭임,수호 천사,고속 연사포","잭스,자르반 4세,티모,올라프,트린다미어,아지르,아지르,리 신,사미라","2B.F. 대검,3거인의 허리띠,4쓸데없이 큰 지팡이,1쇠사슬 조끼,7곡궁,1여신의 눈물,4연습용 장갑",처형자신성
157,"6 대장군,4 귀감,2 암살자,1 황제,1 닌자","서풍,수은,거인의 결의,마법공학 총검,구원,수호 천사,정의의 손길,이온 충격기","가렌,니달리,자르반 4세,파이크,카타리나,케넨,트린다미어,아지르","2B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,3음전자 망토,2여신의 눈물,2연습용 장갑",귀감
158,"4 귀감,3 대장군,3 광신도,2 암살자,2 선봉대,1 닌자","태양불꽃 망토,힘의 성배,거인의 결의,마법공학 총검,수은,정의의 손길,정의의 손길,용의 발톱,고속 연사포","엘리스,가렌,자르반 4세,파이크,카타리나,케넨,아트록스,리 신","1B.F. 대검,1거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,4음전자 망토,3여신의 눈물,3연습용 장갑",귀감
159,"6 대장군,3 학살자,2 암살자,2 선봉대,2 명사수,1 황제,1 무모한 자","도적의 장갑,가고일 돌갑옷,태양불꽃 망토,루난의 허리케인,마법공학 총검,수은,워모그의 갑옷,모렐로노미콘,무한의 대검,고속 연사포,거인 학살자,침묵의 장막,지크의 전령","가렌,니달리,파이크,카타리나,트린다미어,세주아니,사미라,아지르","4B.F. 대검,5거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,3음전자 망토,5연습용 장갑",영혼시비르
160,"4 선봉대,3 학살자,3 용의 영혼,2 명사수,1 황제,1 무모한 자","서풍,태양불꽃 망토,용의 발톱,스태틱의 단검,최후의 속삭임,수호 천사,푸른 파수꾼,루덴의 메아리,정의의 손길,피바라기","트리스타나,브라움,파이크,세주아니,아트록스,올라프,리 신,사미라,아지르","2B.F. 대검,2거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,4음전자 망토,5여신의 눈물,2연습용 장갑",귀감
161,"4 처형자,4 신성,2 조율자,2 영혼,2 신비술사,2 결투가,1 닌자","지크의 전령,지크의 전령,침묵의 장막,서풍,고속 연사포,구인수의 격노검,수은,태양불꽃 망토,가고일 돌갑옷","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,리 신","2B.F. 대검,4거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,3음전자 망토,2연습용 장갑",영혼시비르
162,"8 싸움꾼,3 나무정령,1 우두머리,1 대장장이","최후의 속삭임,도적의 장갑,고속 연사포,쇼진의 창,수호 천사,구인수의 격노검,루난의 허리케인,지크의 전령,지크의 전령,힘의 성배,루덴의 메아리,거인의 결의,거인의 결의","마오카이,탐 켄치,바이,누누와 윌럼프,쉬바나,초가스,세트,오른","4B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,7곡궁,2음전자 망토,3여신의 눈물,3연습용 장갑",처형자신성
163,"6 귀감,2 처형자,1 황제,1 닌자","수호 천사,모렐로노미콘,용의 발톱,즈롯 차원문,루난의 허리케인,죽음의 검","엘리스,라칸,자르반 4세,킨드레드,케넨,아트록스,케일,아지르","3B.F. 대검,2거인의 허리띠,1쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,3음전자 망토",처형자신성
164,"4 용의 영혼,4 선봉대,3 학살자,1 대장장이","정의의 손길,덤불 조끼,모렐로노미콘,수은,마법공학 총검,푸른 파수꾼,루난의 허리케인,고속 연사포,죽음의 검","브랜드,브라움,아트록스,트린다미어,세주아니,아우렐리온 솔,올라프,오른","3B.F. 대검,1거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,2음전자 망토,3여신의 눈물,2연습용 장갑",귀감
